fold,Naive_MAE,Naive_RMSE,Naive_SMAPE,SNaive_MAE,SNaive_RMSE,SNaive_SMAPE,MA_MAE,MA_RMSE,MA_SMAPE,LGBM_P50_MAE,LGBM_P50_RMSE,LGBM_P50_SMAPE,LGBM_Coverage,LGBM_Width,Quantile_Crossings
fold_1,0.10947553580521224,0.4492995778239531,0.1561517709969314,0.11253221004005273,0.4790160239814153,0.16167697266011502,0.11683112340485013,0.3545835356868067,0.8620871367281596,0.010993849600665618,0.16672453264452747,0.005540278449144234,0.9976623617090219,0.04246948092207442,3
fold_2,2.3078698361412415e-05,0.004804029388067106,4.615739672282483e-05,0.013423340257447227,0.13786732029440918,0.022755596584352642,0.07360115928660081,0.24807466224595795,0.771563860349863,4.789529995266426e-12,9.969818267896745e-10,4.789530492252859e-12,1.0,1.0352680950361789e-05,0
fold_3,0.0,0.0,0.0,0.0,0.0,0.0,0.020350984186656255,0.07540604891566005,0.42649434571890144,0.0,0.0,0.0,1.0,0.0,0
holdout,0.0,0.0,0.0,0.0,0.0,0.0,1.1539349696555315e-05,0.0006419654589173906,0.0006462035541195477,0.0,0.0,0.0,1.0,0.0,0
