pipeline,fold,metrics
retail,fold_1,"{""Quantile_Crossings"": 5, ""Naive_MAE"": 0.1084328129782675, ""Naive_RMSE"": 0.4650580083467394, ""Naive_SMAPE"": 0.1502332950297444, ""Naive_WAPE"": 1.7065435568044962, ""SNaive_MAE"": 0.1097592082440567, ""SNaive_RMSE"": 0.4728362561069916, ""SNaive_SMAPE"": 0.1505076914435653, ""SNaive_WAPE"": 1.727418707346447, ""MA_MAE"": 0.1056834579561852, ""MA_RMSE"": 0.3474041894955569, ""MA_SMAPE"": 0.8021091008654937, ""MA_WAPE"": 1.6632734988816886, ""LGBM_P50_MAE"": 0.0197428924683599, ""LGBM_P50_RMSE"": 0.2409466925982574, ""LGBM_P50_SMAPE"": 0.0094285492930762, ""LGBM_P50_WAPE"": 0.3107187299596887, ""LGBM_Coverage"": 0.9953066013672074, ""LGBM_Coverage_Active"": 0.9833988641328092, ""Active_Series_Share"": 0.1167737985919804, ""Zero_Actual_Share"": 0.956203448627691, ""Degenerate_Interval_Share"": 0.956203448627691, ""LGBM_Width"": 0.0588726101239709, ""Pinball_P10"": 0.0019744055019885, ""Pinball_P90"": 0.0087509544718389}"
retail,fold_2,"{""Quantile_Crossings"": 4, ""Naive_MAE"": 0.1324377149360449, ""Naive_RMSE"": 0.5333342611140153, ""Naive_SMAPE"": 0.1775165766134402, ""Naive_WAPE"": 1.400942161737765, ""SNaive_MAE"": 0.1189292164576065, ""SNaive_RMSE"": 0.5259066904424481, ""SNaive_SMAPE"": 0.1578601366828894, ""SNaive_WAPE"": 1.258047631510076, ""MA_MAE"": 0.1150855502892911, ""MA_RMSE"": 0.410022467428855, ""MA_SMAPE"": 0.7571962279217008, ""MA_WAPE"": 1.2173888660410512, ""LGBM_P50_MAE"": 0.0336475546335177, ""LGBM_P50_RMSE"": 0.3561201458623034, ""LGBM_P50_SMAPE"": 0.0149141638215075, ""LGBM_P50_WAPE"": 0.3559279012646306, ""LGBM_Coverage"": 0.9916375961800143, ""LGBM_Coverage_Active"": 0.9589618456078084, ""Active_Series_Share"": 0.1115317053860808, ""Zero_Actual_Share"": 0.939112793488211, ""Degenerate_Interval_Share"": 0.9391375343279152, ""LGBM_Width"": 0.0750197230075391, ""Pinball_P10"": 0.0033651560052213, ""Pinball_P90"": 0.0138818227171177}"
retail,fold_3,"{""Quantile_Crossings"": 10, ""Naive_MAE"": 0.1458825776568058, ""Naive_RMSE"": 0.5237706075266049, ""Naive_SMAPE"": 0.2022356056480528, ""Naive_WAPE"": 1.3375656742556918, ""SNaive_MAE"": 0.1412506267459351, ""SNaive_RMSE"": 0.5482693576100514, ""SNaive_SMAPE"": 0.186241763941266, ""SNaive_WAPE"": 1.2950963222416814, ""MA_MAE"": 0.1271143082259764, ""MA_RMSE"": 0.4383045130965584, ""MA_SMAPE"": 0.7829036469669329, ""MA_WAPE"": 1.165483487615712, ""LGBM_P50_MAE"": 0.0409712912608102, ""LGBM_P50_RMSE"": 0.3937045088265788, ""LGBM_P50_SMAPE"": 0.0182576063046743, ""LGBM_P50_WAPE"": 0.3756568721270828, ""LGBM_Coverage"": 0.9887543872215456, ""LGBM_Coverage_Active"": 0.9575692963752666, ""Active_Series_Share"": 0.1119786070720817, ""Zero_Actual_Share"": 0.9319055464030752, ""Degenerate_Interval_Share"": 0.9319055464030752, ""LGBM_Width"": 0.0870265910156661, ""Pinball_P10"": 0.004097560181712, ""Pinball_P90"": 0.0151222782501577}"
retail,holdout,"{""Quantile_Crossings"": 5, ""Naive_MAE"": 0.1283153955229085, ""Naive_RMSE"": 0.497559071272559, ""Naive_SMAPE"": 0.176657622881234, ""Naive_WAPE"": 1.842456608811749, ""SNaive_MAE"": 0.1274320649015551, ""SNaive_RMSE"": 0.5232456416772201, ""SNaive_SMAPE"": 0.1708870893527331, ""SNaive_WAPE"": 1.82977303070761, ""MA_MAE"": 0.1192164259646069, ""MA_RMSE"": 0.3743232623190814, ""MA_SMAPE"": 0.8531699268527719, ""MA_WAPE"": 1.7118062178142284, ""LGBM_P50_MAE"": 0.0211069628146479, ""LGBM_P50_RMSE"": 0.2516363785029964, ""LGBM_P50_SMAPE"": 0.0101474707002173, ""LGBM_P50_WAPE"": 0.3030709056486444, ""LGBM_Coverage"": 0.9946767707292128, ""LGBM_Coverage_Active"": 0.981833195706028, ""Active_Series_Share"": 0.1126014086798856, ""Zero_Actual_Share"": 0.9514633069109, ""Degenerate_Interval_Share"": 0.9514633069109, ""LGBM_Width"": 0.0634974438219808, ""Pinball_P10"": 0.002110982144678, ""Pinball_P90"": 0.0086191591133714}"
